actorId,name,isFemale,categoryType,voiceAge,languageName,countryName,audioSampleLink
145,Petra,True,,,Slovenian (Slovenia),Slovenia,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/91e4698d-b47b-435d-8adb-83c375683058.mp3
146,Rok,False,,,Slovenian (Slovenia),Slovenia,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/06275c15-d445-4ccb-b980-7b0034ba0bb7.mp3
147,Hillevi,True,Premium,Middle Aged,Swedish (Sweden),Sweden,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/8a8539a6-379e-4b59-b9a2-d3847810272f.mp3
148,Mattias,False,Premium,Middle Aged,Swedish (Sweden),Sweden,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/f09c1394-9b73-4d43-9926-617ee7da3889.mp3
149,Rafiki,False,Premium,Middle Aged,Swahili (Kenya),Kenya,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/Missing%20preview%20voice/Rafiki.mp3
150,Zuri,True,Premium,Middle Aged,Swahili (Kenya),Kenya,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/Missing%20preview%20voice/Zuri.mp3
151,Valluvar,False,Premium,Middle Aged,Tamil (India),India,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/Missing%20preview%20voice/Valluvar.mp3
152,Shruti,True,Premium,Middle Aged,Telugu (India),India,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/Missing%20preview%20voice/Shruti.mp3
153,Ahmet,False,Premium,Middle Aged,Turkish (Turkey),Turkey,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/9aa27268-f7e4-438c-983c-5c91d45d689d.mp3
154,Emel,True,Premium,Middle Aged,Turkish (Turkey),Turkey,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/35a19c54-f72e-40bd-9109-7f647e5ab493.mp3
